per	-1	0	0.01	0.02	0.03	0.04	0.05	0.075	0.1	0.15	0.2	0.25	0.3	0.4	0.5	0.75	1	1.5	2	3	4	5	7.5	10
VLIN	400.0	865.1	865.1	865.1	907.8	994.5	1053.5	1085.7	1032.5	877.6	748.2	654.3	587.1	503.0	456.6	410.5	400.0	400.0	400.0	400.0	400.0	400.0	400.0	400.0
b	-1.955	-1.186	-1.186	-1.219	-1.273	-1.308	-1.346	-1.471	-1.624	-1.931	-2.188	-2.381	-2.518	-2.657	-2.669	-2.401	-1.955	-1.025	-0.299	0.000	0.000	0.000	0.000	0.000
a1	5.7578	0.804	0.811	0.855	0.962	1.037	1.133	1.375	1.563	1.716	1.687	1.646	1.601	1.511	1.397	1.137	0.915	0.510	0.192	-0.280	-0.639	-0.936	-1.527	-1.993
a2	-0.9046	-0.9679	-0.9679	-0.9774	-1.0024	-1.0289	-1.0508	-1.0810	-1.0833	-1.0357	-0.9700	-0.9202	-0.8974	-0.8677	-0.8475	-0.8206	-0.8088	-0.7995	-0.7960	-0.7960	-0.7960	-0.7960	-0.7960	-0.7960
a8	-0.1200	-0.0372	-0.0372	-0.0372	-0.0372	-0.0315	-0.0271	-0.0191	-0.0166	-0.0254	-0.0396	-0.0539	-0.0656	-0.0807	-0.0924	-0.1137	-0.1289	-0.1534	-0.1708	-0.1954	-0.2128	-0.2263	-0.2509	-0.2683
a10	1.5390	0.9445	0.9445	0.9834	1.0471	1.0884	1.1333	1.2808	1.4613	1.8071	2.0773	2.2794	2.4201	2.5510	2.5395	2.1493	1.5705	0.3991	-0.6072	-0.9600	-0.9600	-0.9208	-0.7700	-0.6630
a12	0.0800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0181	0.0309	0.0409	0.0491	0.0619	0.0719	0.0800	0.0800	0.0800	0.0800	0.0800	0.0800	0.0800	0.0800	0.0800
a13	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600	-0.0600
a14	0.7000	1.0800	1.0800	1.0800	1.1331	1.1708	1.2000	1.2000	1.2000	1.1683	1.1274	1.0956	1.0697	1.0288	0.9971	0.9395	0.8985	0.8409	0.8000	0.4793	0.2518	0.0754	0.0000	0.0000
a15	-0.3900	-0.3500	-0.3500	-0.3500	-0.3500	-0.3500	-0.3500	-0.3500	-0.3500	-0.3500	-0.3500	-0.3500	-0.3500	-0.3500	-0.3191	-0.2629	-0.2230	-0.1668	-0.1270	-0.0708	-0.0309	0.0000	0.0000	0.0000
a16	0.6300	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9000	0.8423	0.7458	0.5704	0.4460	0.2707	0.1463	-0.0291	-0.1535	-0.2500	-0.2500	-0.2500
a18	0.0000	-0.0067	-0.0067	-0.0067	-0.0067	-0.0067	-0.0076	-0.0093	-0.0093	-0.0093	-0.0083	-0.0069	-0.0057	-0.0039	-0.0025	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
s1e	0.611	0.590	0.590	0.590	0.603	0.612	0.619	0.630	0.630	0.630	0.630	0.630	0.630	0.630	0.630	0.630	0.630	0.630	0.630	0.617	0.607	0.600	0.600	0.600
s2e	0.493	0.470	0.470	0.470	0.478	0.483	0.488	0.495	0.501	0.509	0.514	0.518	0.522	0.527	0.532	0.539	0.545	0.559	0.569	0.583	0.592	0.600	0.600	0.600
s1m	0.577	0.576	0.576	0.576	0.589	0.596	0.605	0.617	0.617	0.616	0.614	0.612	0.611	0.608	0.606	0.602	0.594	0.582	0.572	0.560	0.549	0.544	0.560	0.570
s2m	0.450	0.453	0.453	0.453	0.460	0.464	0.470	0.478	0.484	0.490	0.493	0.496	0.498	0.500	0.503	0.504	0.502	0.501	0.502	0.517	0.529	0.542	0.560	0.570
s3	0.411	0.470	0.470	0.470	0.496	0.514	0.529	0.550	0.550	0.550	0.550	0.522	0.500	0.464	0.436	0.386	0.350	0.350	0.350	0.350	0.350	0.350	0.350	0.350
s4	0.263	0.300	0.300	0.300	0.305	0.309	0.312	0.317	0.321	0.326	0.329	0.332	0.335	0.338	0.341	0.346	0.350	0.350	0.350	0.350	0.350	0.350	0.350	0.350
rho	0.740	1.000	1.000	1.000	0.991	0.982	0.973	0.952	0.929	0.896	0.874	0.856	0.841	0.818	0.783	0.680	0.607	0.504	0.431	0.328	0.255	0.200	0.200	0.200
