Period (sec) 	M 	RRUP	 VS30	 RJB 	Width (km) 	FRV	 FNM	 ZTOR 	DIP	SA1130 (g) 	SA (g) 	 
0.2	5	15	760	13.21	2.98	1	0	5	45	0.125488	0.154291	 
0.2	5	30	760	29.15	2.98	1	0	5	45	0.04389	0.054425	 
0.2	5	50	760	49.49	2.98	1	0	5	45	0.019286	0.023989	 
0.2	5	100	760	99.75	2.98	1	0	5	45	0.005826	0.007261	 
0.2	5	200	760	199.87	2.98	1	0	5	45	0.001107	0.00138	 
1	5	5	760	0	2.98	1	0	5	45	0.043114	0.059003	 
1	5	10	760	7.03	2.98	1	0	5	45	0.020773	0.02844	 
1	5	15	760	13.21	2.98	1	0	5	45	0.012366	0.016933	 
1	5	30	760	29.15	2.98	1	0	5	45	0.004722	0.006467	 
1	5	50	760	49.49	2.98	1	0	5	45	0.002411	0.003302	 
1	5	100	760	99.75	2.98	1	0	5	45	0.001101	0.001508	 
1	5	200	760	199.87	2.98	1	0	5	45	0.000492	0.000674	 
3	5	5	760	0	2.98	1	0	5	45	0.003811	0.005484	 
3	5	10	760	7.03	2.98	1	0	5	45	0.001867	0.002686	 
3	5	15	760	13.21	2.98	1	0	5	45	0.001121	0.001613	 
3	5	30	760	29.15	2.98	1	0	5	45	0.000439	0.000632	 
3	5	50	760	49.49	2.98	1	0	5	45	0.000233	0.000335	 
3	5	100	760	99.75	2.98	1	0	5	45	0.000118	0.000169	 
3	5	200	760	199.87	2.98	1	0	5	45	0.000065	0.000093	 
0.01	7	1	760	1	15	0	0	0	90	0.463402	0.545734	 
0.01	7	3	760	3	15	0	0	0	90	0.383809	0.453108	 
0.01	7	5	760	5	15	0	0	0	90	0.322935	0.382068	 
0.01	7	10	760	10	15	0	0	0	90	0.222043	0.263855	 
0.01	7	15	760	15	15	0	0	0	90	0.16297	0.19429	 
0.01	7	30	760	30	15	0	0	0	90	0.083725	0.100392	 
0.01	7	50	760	50	15	0	0	0	90	0.048374	0.058203	 
0.01	7	100	760	100	15	0	0	0	90	0.021465	0.02591	 
0.01	7	200	760	200	15	0	0	0	90	0.006741	0.008153	 
0.2	7	1	760	1	15	0	0	0	90	1.191088	1.400097	 
0.2	7	3	760	3	15	0	0	0	90	0.968443	1.144679	 
0.2	7	5	760	5	15	0	0	0	90	0.802274	0.952864	 
0.2	7	10	760	10	15	0	0	0	90	0.535453	0.642152	 
0.2	7	15	760	15	15	0	0	0	90	0.384799	0.46477	 
0.2	7	30	760	30	15	0	0	0	90	0.190554	0.233014	 
0.2	7	50	760	50	15	0	0	0	90	0.107702	0.132645	 
0.2	7	100	760	100	15	0	0	0	90	0.047088	0.058369	 
0.2	7	200	760	200	15	0	0	0	90	0.014938	0.018591	 
1	7	1	760	1	15	0	0	0	90	0.346583	0.473229	 
1	7	3	760	3	15	0	0	0	90	0.273912	0.374131	 
1	7	5	760	5	15	0	0	0	90	0.222119	0.303475	 
1	7	10	760	10	15	0	0	0	90	0.143489	0.196153	 
1	7	15	760	15	15	0	0	0	90	0.101703	0.139083	 
1	7	30	760	30	15	0	0	0	90	0.050992	0.069777	 
1	7	50	760	50	15	0	0	0	90	0.030852	0.042231	 
1	7	100	760	100	15	0	0	0	90	0.017184	0.023528	 
1	7	200	760	200	15	0	0	0	90	0.009468	0.012965	 
3	7	1	760	1	15	0	0	0	90	0.084565	0.121676	 
3	7	3	760	3	15	0	0	0	90	0.066542	0.095744	 
3	7	5	760	5	15	0	0	0	90	0.053799	0.077408	 
3	7	10	760	10	15	0	0	0	90	0.034632	0.04983	 
3	7	15	760	15	15	0	0	0	90	0.024545	0.035316	 
3	7	30	760	30	15	0	0	0	90	0.012419	0.01787	 
3	7	50	760	50	15	0	0	0	90	0.007672	0.011039	 
3	7	100	760	100	15	0	0	0	90	0.004553	0.006551	 
3	7	200	760	200	15	0	0	0	90	0.002877	0.00414	 
0.01	7	1	760	0	21.21	1	0	0	45	0.639258	0.749553	 
0.01	7	3	760	0	21.21	1	0	0	45	0.654854	0.767582	 
0.01	7	5	760	0	21.21	1	0	0	45	0.572953	0.672824	 
0.01	7	10	760	0	21.21	1	0	0	45	0.396471	0.467862	 
0.01	7	15	760	6.21	21.21	1	0	0	45	0.238586	0.283285	 
0.01	7	30	760	25.98	21.21	1	0	0	45	0.098676	0.118171	 
0.01	7	50	760	47.7	21.21	1	0	0	45	0.054655	0.065717	 
0.01	7	100	760	98.87	21.21	1	0	0	45	0.023852	0.028781	 
0.01	7	200	760	199.44	21.21	1	0	0	45	0.00746	0.009022	 
0.2	7	1	760	0	21.21	1	0	0	45	1.669724	1.944378	 
0.2	7	3	760	0	21.21	1	0	0	45	1.705223	1.984528	 
0.2	7	5	760	0	21.21	1	0	0	45	1.47311	1.721495	 
0.2	7	10	760	0	21.21	1	0	0	45	0.98993	1.169403	 
0.2	7	15	760	6.21	21.21	1	0	0	45	0.574944	0.688389	 
0.2	7	30	760	25.98	21.21	1	0	0	45	0.225632	0.27519	 
0.2	7	50	760	47.7	21.21	1	0	0	45	0.121882	0.149907	 
0.2	7	100	760	98.87	21.21	1	0	0	45	0.052344	0.064845	 
0.2	7	200	760	199.44	21.21	1	0	0	45	0.016533	0.020572	 
1	7	1	760	0	21.21	1	0	0	45	0.388935	0.530966	 
1	7	3	760	0	21.21	1	0	0	45	0.345553	0.471825	 
1	7	5	760	0	21.21	1	0	0	45	0.28631	0.391039	 
1	7	10	760	0	21.21	1	0	0	45	0.185606	0.253648	 
1	7	15	760	6.21	21.21	1	0	0	45	0.117929	0.161248	 
1	7	30	760	25.98	21.21	1	0	0	45	0.052472	0.071801	 
1	7	50	760	47.7	21.21	1	0	0	45	0.031018	0.042458	 
1	7	100	760	98.87	21.21	1	0	0	45	0.017119	0.023439	 
1	7	200	760	199.44	21.21	1	0	0	45	0.009411	0.012887	 
3	7	1	760	0	21.21	1	0	0	45	0.078509	0.112963	 
3	7	3	760	0	21.21	1	0	0	45	0.063312	0.091096	 
3	7	5	760	0	21.21	1	0	0	45	0.051419	0.073984	 
3	7	10	760	0	21.21	1	0	0	45	0.033124	0.047661	 
3	7	15	760	6.21	21.21	1	0	0	45	0.022944	0.033013	 
3	7	30	760	25.98	21.21	1	0	0	45	0.011322	0.016291	 
3	7	50	760	47.7	21.21	1	0	0	45	0.00696	0.010015	 
3	7	100	760	98.87	21.21	1	0	0	45	0.004123	0.005932	 
3	7	200	760	199.44	21.21	1	0	0	45	0.002604	0.003747	 
